"city","state","stateISO","country","countryISO"
"Blackie","Alberta","AB","Canada","CA"
"Blairmore","Alberta","AB","Canada","CA"
"Bluffton","Alberta","AB","Canada","CA"
"Bodo","Alberta","AB","Canada","CA"
"Bonnyville","Alberta","AB","Canada","CA"
"Botha","Alberta","AB","Canada","CA"
"Bow Island","Alberta","AB","Canada","CA"
"Bowden","Alberta","AB","Canada","CA"
"Bragg Creek","Alberta","AB","Canada","CA"
"Brant","Alberta","AB","Canada","CA"
"Breton","Alberta","AB","Canada","CA"
"Brocket","Alberta","AB","Canada","CA"
"Brooks","Alberta","AB","Canada","CA"
"Brownfield","Alberta","AB","Canada","CA"
"Bruce","Alberta","AB","Canada","CA"
"Buck Creek","Alberta","AB","Canada","CA"
"Buck Lake","Alberta","AB","Canada","CA"
"Buffalo","Alberta","AB","Canada","CA"
"Burdett","Alberta","AB","Canada","CA"
"Byemoor","Alberta","AB","Canada","CA"
"Cadogan","Alberta","AB","Canada","CA"
"Cadomin","Alberta","AB","Canada","CA"
"Calgary","Alberta","AB","Canada","CA"
"Calling Lake","Alberta","AB","Canada","CA"
"Camrose","Alberta","AB","Canada","CA"
"Canmore","Alberta","AB","Canada","CA"
"Carbon","Alberta","AB","Canada","CA"
"Cardston","Alberta","AB","Canada","CA"
"Carmangay","Alberta","AB","Canada","CA"
"Caroline","Alberta","AB","Canada","CA"
"Carseland","Alberta","AB","Canada","CA"
"Carstairs","Alberta","AB","Canada","CA"
"Carvel","Alberta","AB","Canada","CA"
"Castor","Alberta","AB","Canada","CA"
"Cayley","Alberta","AB","Canada","CA"
"Cereal","Alberta","AB","Canada","CA"
"Cessford","Alberta","AB","Canada","CA"
"Champion","Alberta","AB","Canada","CA"
"Chard","Alberta","AB","Canada","CA"
"Chateh","Alberta","AB","Canada","CA"
"Chinook","Alberta","AB","Canada","CA"
"Chipman","Alberta","AB","Canada","CA"
"Clairmont","Alberta","AB","Canada","CA"
"Clandonald","Alberta","AB","Canada","CA"
"Claresholm","Alberta","AB","Canada","CA"
"Cleardale","Alberta","AB","Canada","CA"
"Clive","Alberta","AB","Canada","CA"
"Cluny","Alberta","AB","Canada","CA"
"Clyde","Alberta","AB","Canada","CA"
"Coaldale","Alberta","AB","Canada","CA"
"Coalhurst","Alberta","AB","Canada","CA"
"Cochrane","Alberta","AB","Canada","CA"
"Coleman","Alberta","AB","Canada","CA"
"Compeer","Alberta","AB","Canada","CA"
"Condor","Alberta","AB","Canada","CA"
"Conklin","Alberta","AB","Canada","CA"
"Consort","Alberta","AB","Canada","CA"
"Coronation","Alberta","AB","Canada","CA"
"Coutts","Alberta","AB","Canada","CA"
"Cowley","Alberta","AB","Canada","CA"
"Craigmyle","Alberta","AB","Canada","CA"
"Cremona","Alberta","AB","Canada","CA"
"Crossfield","Alberta","AB","Canada","CA"
"Czar","Alberta","AB","Canada","CA"
"Darwell","Alberta","AB","Canada","CA"
"Daysland","Alberta","AB","Canada","CA"
"De Winton","Alberta","AB","Canada","CA"
"Del Bonita","Alberta","AB","Canada","CA"
"Delburne","Alberta","AB","Canada","CA"
"Delia","Alberta","AB","Canada","CA"
"Derwent","Alberta","AB","Canada","CA"
"Diamond City","Alberta","AB","Canada","CA"
"Didsbury","Alberta","AB","Canada","CA"
"Donalda","Alberta","AB","Canada","CA"
"Dorothy","Alberta","AB","Canada","CA"
"Drayton Valley","Alberta","AB","Canada","CA"
"Drumheller","Alberta","AB","Canada","CA"
"Duchess","Alberta","AB","Canada","CA"
"Duffield","Alberta","AB","Canada","CA"
"East Coulee","Alberta","AB","Canada","CA"
"Eckville","Alberta","AB","Canada","CA"
"Edberg","Alberta","AB","Canada","CA"
"Edgerton","Alberta","AB","Canada","CA"
"Edmonton","Alberta","AB","Canada","CA"
"Edson","Alberta","AB","Canada","CA"
"Egremont","Alberta","AB","Canada","CA"
"Elk Point","Alberta","AB","Canada","CA"
"Elkwater","Alberta","AB","Canada","CA"
"Elnora","Alberta","AB","Canada","CA"
"Empress","Alberta","AB","Canada","CA"
"Enchant","Alberta","AB","Canada","CA"
"Endiang","Alberta","AB","Canada","CA"
"Erskine","Alberta","AB","Canada","CA"
"Esther","Alberta","AB","Canada","CA"
"Etzikom","Alberta","AB","Canada","CA"
"Eureka River","Alberta","AB","Canada","CA"
"Exshaw","Alberta","AB","Canada","CA"
"Fairview","Alberta","AB","Canada","CA"
"Falher","Alberta","AB","Canada","CA"
"Fallis","Alberta","AB","Canada","CA"
"Falun","Alberta","AB","Canada","CA"
"Fawcett","Alberta","AB","Canada","CA"
"Ferintosh","Alberta","AB","Canada","CA"
"Finnegan","Alberta","AB","Canada","CA"
"Flatbush","Alberta","AB","Canada","CA"
"Foremost","Alberta","AB","Canada","CA"
"Forestburg","Alberta","AB","Canada","CA"
"Fort Kent","Alberta","AB","Canada","CA"
"Fort Mackay","Alberta","AB","Canada","CA"
"Fort Macleod","Alberta","AB","Canada","CA"
"Fort Mcmurray","Alberta","AB","Canada","CA"
"Frog Lake","Alberta","AB","Canada","CA"
"Gadsby","Alberta","AB","Canada","CA"
"Gem","Alberta","AB","Canada","CA"
"Girouxville","Alberta","AB","Canada","CA"
"Gleichen","Alberta","AB","Canada","CA"
"Glenwood","Alberta","AB","Canada","CA"
"Grande Prairie","Alberta","AB","Canada","CA"
"Granum","Alberta","AB","Canada","CA"
"Grassy Lake","Alberta","AB","Canada","CA"
"Grimshaw","Alberta","AB","Canada","CA"
"Grovedale","Alberta","AB","Canada","CA"
"Gwynne","Alberta","AB","Canada","CA"
"Halkirk","Alberta","AB","Canada","CA"
"Hanna","Alberta","AB","Canada","CA"
"Hardisty","Alberta","AB","Canada","CA"
"Harvie Heights","Alberta","AB","Canada","CA"
"Hay Lakes","Alberta","AB","Canada","CA"
"Hays","Alberta","AB","Canada","CA"
"Heinsburg","Alberta","AB","Canada","CA"
"Heisler","Alberta","AB","Canada","CA"
"High River","Alberta","AB","Canada","CA"
"Hilda","Alberta","AB","Canada","CA"
"Hill Spring","Alberta","AB","Canada","CA"
"Hillcrest Mines","Alberta","AB","Canada","CA"
"Hilliard","Alberta","AB","Canada","CA"
"Hines Creek","Alberta","AB","Canada","CA"
"Hinton","Alberta","AB","Canada","CA"
"Holden","Alberta","AB","Canada","CA"
"Hughenden","Alberta","AB","Canada","CA"
"Hussar","Alberta","AB","Canada","CA"
"Huxley","Alberta","AB","Canada","CA"
"Iddesleigh","Alberta","AB","Canada","CA"
"Innisfail","Alberta","AB","Canada","CA"
"Iron River","Alberta","AB","Canada","CA"
"Iron Springs","Alberta","AB","Canada","CA"
"Irricana","Alberta","AB","Canada","CA"
"Irvine","Alberta","AB","Canada","CA"
"James River Bridge","Alberta","AB","Canada","CA"
"Jarvie","Alberta","AB","Canada","CA"
"Jasper","Alberta","AB","Canada","CA"
"Jean Cote","Alberta","AB","Canada","CA"
"Jenner","Alberta","AB","Canada","CA"
"Kananaskis","Alberta","AB","Canada","CA"
"Kathyrn","Alberta","AB","Canada","CA"
"Kelsey","Alberta","AB","Canada","CA"
"Keoma","Alberta","AB","Canada","CA"
"Kingman","Alberta","AB","Canada","CA"
"Kinsella","Alberta","AB","Canada","CA"
"Kirriemuir","Alberta","AB","Canada","CA"
"Kitscoty","Alberta","AB","Canada","CA"
"La Corey","Alberta","AB","Canada","CA"
"La Glace","Alberta","AB","Canada","CA"
"Lac Des Arcs","Alberta","AB","Canada","CA"
"Lacombe","Alberta","AB","Canada","CA"
"Lake Isle","Alberta","AB","Canada","CA"
"Lake Louise","Alberta","AB","Canada","CA"
"Lamont","Alberta","AB","Canada","CA"
"Langdon","Alberta","AB","Canada","CA"
"Leduc","Alberta","AB","Canada","CA"
"Leduc County","Alberta","AB","Canada","CA"
"Legal","Alberta","AB","Canada","CA"
"Leslieville","Alberta","AB","Canada","CA"
"Lethbridge","Alberta","AB","Canada","CA"
"Lindbergh","Alberta","AB","Canada","CA"
"Linden","Alberta","AB","Canada","CA"
"Lloydminster","Alberta","AB","Canada","CA"
"Lomond","Alberta","AB","Canada","CA"
"Longview","Alberta","AB","Canada","CA"
"Lougheed","Alberta","AB","Canada","CA"
"Lousana","Alberta","AB","Canada","CA"
"Lundbreck","Alberta","AB","Canada","CA"
"Lyalta","Alberta","AB","Canada","CA"
"Madden","Alberta","AB","Canada","CA"
"Magrath","Alberta","AB","Canada","CA"
"Maleb","Alberta","AB","Canada","CA"
"Mallaig","Alberta","AB","Canada","CA"
"Mannville","Alberta","AB","Canada","CA"
"Manyberries","Alberta","AB","Canada","CA"
"Marie Reine","Alberta","AB","Canada","CA"
"Markerville","Alberta","AB","Canada","CA"
"Mayerthorpe","Alberta","AB","Canada","CA"
"Mcrae","Alberta","AB","Canada","CA"
"Medicine Hat","Alberta","AB","Canada","CA"
"Meeting Creek","Alberta","AB","Canada","CA"
"Metiskow","Alberta","AB","Canada","CA"
"Milk River","Alberta","AB","Canada","CA"
"Millarville","Alberta","AB","Canada","CA"
"Millet","Alberta","AB","Canada","CA"
"Millicent","Alberta","AB","Canada","CA"
"Milo","Alberta","AB","Canada","CA"
"Minburn","Alberta","AB","Canada","CA"
"Mirror","Alberta","AB","Canada","CA"
"Monarch","Alberta","AB","Canada","CA"
"Monitor","Alberta","AB","Canada","CA"
"Morley","Alberta","AB","Canada","CA"
"Morrin","Alberta","AB","Canada","CA"
"Mossleigh","Alberta","AB","Canada","CA"
"Mountain View","Alberta","AB","Canada","CA"
"Mundare","Alberta","AB","Canada","CA"
"Munson","Alberta","AB","Canada","CA"
"Myrnam","Alberta","AB","Canada","CA"
"Nampa","Alberta","AB","Canada","CA"
"Nanton","Alberta","AB","Canada","CA"
"Nestow","Alberta","AB","Canada","CA"
"Nevis","Alberta","AB","Canada","CA"
"New Brigden","Alberta","AB","Canada","CA"
"New Dayton","Alberta","AB","Canada","CA"
"New Norway","Alberta","AB","Canada","CA"
"Newbrook","Alberta","AB","Canada","CA"
"Nisku","Alberta","AB","Canada","CA"
"Nobleford","Alberta","AB","Canada","CA"
"Nordegg","Alberta","AB","Canada","CA"
"Norglenwold","Alberta","AB","Canada","CA"
"Ohaton","Alberta","AB","Canada","CA"
"Okotoks","Alberta","AB","Canada","CA"
"Olds","Alberta","AB","Canada","CA"
"Onoway","Alberta","AB","Canada","CA"
"Opal","Alberta","AB","Canada","CA"
"Orion","Alberta","AB","Canada","CA"
"Oyen","Alberta","AB","Canada","CA"
"Paradise Valley","Alberta","AB","Canada","CA"
"Parkland","Alberta","AB","Canada","CA"
"Patricia","Alberta","AB","Canada","CA"
"Peace River","Alberta","AB","Canada","CA"
"Peers","Alberta","AB","Canada","CA"
"Penhold","Alberta","AB","Canada","CA"
"Picture Butte","Alberta","AB","Canada","CA"
"Pincher Creek","Alberta","AB","Canada","CA"
"Pine Lake","Alberta","AB","Canada","CA"
"Pollockville","Alberta","AB","Canada","CA"
"Ponoka","Alberta","AB","Canada","CA"
"Port Perry","Alberta","AB","Canada","CA"
"Priddis","Alberta","AB","Canada","CA"
"Provost","Alberta","AB","Canada","CA"
"Purple Springs","Alberta","AB","Canada","CA"
"Radway","Alberta","AB","Canada","CA"
"Rainier","Alberta","AB","Canada","CA"
"Ralston","Alberta","AB","Canada","CA"
"Raymond","Alberta","AB","Canada","CA"
"Red Deer","Alberta","AB","Canada","CA"
"Red Deer County","Alberta","AB","Canada","CA"
"Red Willow","Alberta","AB","Canada","CA"
"Redcliff","Alberta","AB","Canada","CA"
"Redwater","Alberta","AB","Canada","CA"
"Redwood Meadows","Alberta","AB","Canada","CA"
"Rimbey","Alberta","AB","Canada","CA"
"Rochfort Bridge","Alberta","AB","Canada","CA"
"Rocky Mountain House","Alberta","AB","Canada","CA"
"Rocky Rapids","Alberta","AB","Canada","CA"
"Rockyford","Alberta","AB","Canada","CA"
"Rolling Hills","Alberta","AB","Canada","CA"
"Rolly View","Alberta","AB","Canada","CA"
"Rosalind","Alberta","AB","Canada","CA"
"Rosebud","Alberta","AB","Canada","CA"
"Rosedale Station","Alberta","AB","Canada","CA"
"Rosemary","Alberta","AB","Canada","CA"
"Rowley","Alberta","AB","Canada","CA"
"Rumsey","Alberta","AB","Canada","CA"
"Ryley","Alberta","AB","Canada","CA"
"Saddle Lake","Alberta","AB","Canada","CA"
"Scandia","Alberta","AB","Canada","CA"
"Schuler","Alberta","AB","Canada","CA"
"Seba Beach","Alberta","AB","Canada","CA"
"Sedalia","Alberta","AB","Canada","CA"
"Sedgewick","Alberta","AB","Canada","CA"
"Seven Persons","Alberta","AB","Canada","CA"
"Sexsmith","Alberta","AB","Canada","CA"
"Shaughnessy","Alberta","AB","Canada","CA"
"Sherwood Park","Alberta","AB","Canada","CA"
"Sibbald","Alberta","AB","Canada","CA"
"Siksika","Alberta","AB","Canada","CA"
"Skiff","Alberta","AB","Canada","CA"
"Smith","Alberta","AB","Canada","CA"
"Smoky Lake","Alberta","AB","Canada","CA"
"Spedden","Alberta","AB","Canada","CA"
"Spring Coulee","Alberta","AB","Canada","CA"
"Spruce Grove","Alberta","AB","Canada","CA"
"Spruce View","Alberta","AB","Canada","CA"
"Spruceview","Alberta","AB","Canada","CA"
"Sputinow","Alberta","AB","Canada","CA"
"St Brides","Alberta","AB","Canada","CA"
"St Lina","Alberta","AB","Canada","CA"
"St Michael","Alberta","AB","Canada","CA"
"St Paul","Alberta","AB","Canada","CA"
"Stand Off","Alberta","AB","Canada","CA"
"Standard","Alberta","AB","Canada","CA"
"Stauffer","Alberta","AB","Canada","CA"
"Stavely","Alberta","AB","Canada","CA"
"Stettler","Alberta","AB","Canada","CA"
"Stirling","Alberta","AB","Canada","CA"
"Strathmore","Alberta","AB","Canada","CA"
"Streamstown","Alberta","AB","Canada","CA"
"Strome","Alberta","AB","Canada","CA"
"Sunchild Ochiese","Alberta","AB","Canada","CA"
"Sundre","Alberta","AB","Canada","CA"
"Sunnynook","Alberta","AB","Canada","CA"
"Swalwell","Alberta","AB","Canada","CA"
"Swan Hills","Alberta","AB","Canada","CA"
"Sylvan Lake","Alberta","AB","Canada","CA"
"Taber","Alberta","AB","Canada","CA"
"Tawatinaw","Alberta","AB","Canada","CA"
"Tees","Alberta","AB","Canada","CA"
"Thorhild","Alberta","AB","Canada","CA"
"Three Hills","Alberta","AB","Canada","CA"
"Tilley","Alberta","AB","Canada","CA"
"Tofield","Alberta","AB","Canada","CA"
"Torrington","Alberta","AB","Canada","CA"
"Trochu","Alberta","AB","Canada","CA"
"Tsuu Tina","Alberta","AB","Canada","CA"
"Turin","Alberta","AB","Canada","CA"
"Turner Valley","Alberta","AB","Canada","CA"
"Twin Butte","Alberta","AB","Canada","CA"
"Valhalla Centre","Alberta","AB","Canada","CA"
"Valleyview","Alberta","AB","Canada","CA"
"Vauxhall","Alberta","AB","Canada","CA"
"Vegreville","Alberta","AB","Canada","CA"
"Vermilion","Alberta","AB","Canada","CA"
"Veteran","Alberta","AB","Canada","CA"
"Viking","Alberta","AB","Canada","CA"
"Vilna","Alberta","AB","Canada","CA"
"Vimy","Alberta","AB","Canada","CA"
"Vulcan","Alberta","AB","Canada","CA"
"Wabamun","Alberta","AB","Canada","CA"
"Wabasca","Alberta","AB","Canada","CA"
"Wainwright","Alberta","AB","Canada","CA"
"Walsh","Alberta","AB","Canada","CA"
"Wanham","Alberta","AB","Canada","CA"
"Wardlow","Alberta","AB","Canada","CA"
"Warner","Alberta","AB","Canada","CA"
"Warspite","Alberta","AB","Canada","CA"
"Waskatenau","Alberta","AB","Canada","CA"
"Water Valley","Alberta","AB","Canada","CA"
"Waterton Park","Alberta","AB","Canada","CA"
"Watino","Alberta","AB","Canada","CA"
"Welling","Alberta","AB","Canada","CA"
"Wembley","Alberta","AB","Canada","CA"
"Westerose","Alberta","AB","Canada","CA"
"Westlock","Alberta","AB","Canada","CA"
"Wetaskiwin","Alberta","AB","Canada","CA"
"Whitecourt","Alberta","AB","Canada","CA"
"Wildwood","Alberta","AB","Canada","CA"
"Wimborne","Alberta","AB","Canada","CA"
"Winfield","Alberta","AB","Canada","CA"
"Worsley","Alberta","AB","Canada","CA"
"Wrentham","Alberta","AB","Canada","CA"
"Youngstown","Alberta","AB","Canada","CA"
"100 Mile House","British Columbia","BC","Canada","CA"
"108 Mile Ranch","British Columbia","BC","Canada","CA"
"150 Mile House","British Columbia","BC","Canada","CA"
"70 Mile House","British Columbia","BC","Canada","CA"
"Abbotsford","British Columbia","BC","Canada","CA"
"Agassiz","British Columbia","BC","Canada","CA"
"Ahousat","British Columbia","BC","Canada","CA"
"Ainsworth Hot Springs","British Columbia","BC","Canada","CA"
"Aiyansh","British Columbia","BC","Canada","CA"
"Aldergrove","British Columbia","BC","Canada","CA"
"Alert Bay","British Columbia","BC","Canada","CA"
"Alexis Creek","British Columbia","BC","Canada","CA"
"Alkali Lake","British Columbia","BC","Canada","CA"
"Altona","British Columbia","BC","Canada","CA"
"Anahim Lake","British Columbia","BC","Canada","CA"
"Anglemont","British Columbia","BC","Canada","CA"
"Anmore","British Columbia","BC","Canada","CA"
"Argenta","British Columbia","BC","Canada","CA"
"Armstrong","British Columbia","BC","Canada","CA"
"Arras","British Columbia","BC","Canada","CA"
"Ashcroft","British Columbia","BC","Canada","CA"
"Athalmer","British Columbia","BC","Canada","CA"
"Atlin","British Columbia","BC","Canada","CA"
"Avola","British Columbia","BC","Canada","CA"
"Baldonnel","British Columbia","BC","Canada","CA"
"Balfour","British Columbia","BC","Canada","CA"
"Bamfield","British Columbia","BC","Canada","CA"
"Barkerville","British Columbia","BC","Canada","CA"
"Barriere","British Columbia","BC","Canada","CA"
"Bear Lake","British Columbia","BC","Canada","CA"
"Beaverdell","British Columbia","BC","Canada","CA"
"Bella Bella","British Columbia","BC","Canada","CA"
"Bella Coola","British Columbia","BC","Canada","CA"
"Big Lake Ranch","British Columbia","BC","Canada","CA"
"Black Creek","British Columbia","BC","Canada","CA"
"Blind Bay","British Columbia","BC","Canada","CA"
"Blubber Bay","British Columbia","BC","Canada","CA"
"Blue River","British Columbia","BC","Canada","CA"
"Boston Bar","British Columbia","BC","Canada","CA"
"Boswell","British Columbia","BC","Canada","CA"
"Bouchie Lake","British Columbia","BC","Canada","CA"
"Bowen Island","British Columbia","BC","Canada","CA"
"Bowser","British Columbia","BC","Canada","CA"
"Brackendale","British Columbia","BC","Canada","CA"
"Brentwood Bay","British Columbia","BC","Canada","CA"
"Bridesville","British Columbia","BC","Canada","CA"
"Bridge Lake","British Columbia","BC","Canada","CA"
"Brisco","British Columbia","BC","Canada","CA"
"Britannia Beach","British Columbia","BC","Canada","CA"
"Buffalo Creek","British Columbia","BC","Canada","CA"
"Buick","British Columbia","BC","Canada","CA"
"Burnaby","British Columbia","BC","Canada","CA"
"Burns Lake","British Columbia","BC","Canada","CA"
"Burton","British Columbia","BC","Canada","CA"
"Cache Creek","British Columbia","BC","Canada","CA"
"Campbell River","British Columbia","BC","Canada","CA"
"Canal Flats","British Columbia","BC","Canada","CA"
"Canim Lake","British Columbia","BC","Canada","CA"
"Canoe","British Columbia","BC","Canada","CA"
"Canyon","British Columbia","BC","Canada","CA"
"Cassidy","British Columbia","BC","Canada","CA"
"Castlegar","British Columbia","BC","Canada","CA"
"Cawston","British Columbia","BC","Canada","CA"
"Cecil Lake","British Columbia","BC","Canada","CA"
"Cedarvale","British Columbia","BC","Canada","CA"
"Celista","British Columbia","BC","Canada","CA"
"Charlie Lake","British Columbia","BC","Canada","CA"
"Chase","British Columbia","BC","Canada","CA"
"Chemainus","British Columbia","BC","Canada","CA"
"Chetwynd","British Columbia","BC","Canada","CA"
"Chief Lake","British Columbia","BC","Canada","CA"
"Chilako","British Columbia","BC","Canada","CA"
"Chilanko Forks","British Columbia","BC","Canada","CA"
"Chilliwack","British Columbia","BC","Canada","CA"
"Christina Lake","British Columbia","BC","Canada","CA"
"Clayhurst","British Columbia","BC","Canada","CA"
"Clearwater","British Columbia","BC","Canada","CA"
"Clinton","British Columbia","BC","Canada","CA"
"Cluculz Lake","British Columbia","BC","Canada","CA"
"Coal Harbour","British Columbia","BC","Canada","CA"
"Coalmont","British Columbia","BC","Canada","CA"
"Cobble Hill","British Columbia","BC","Canada","CA"
"Coldstream","British Columbia","BC","Canada","CA"
"Comox","British Columbia","BC","Canada","CA"
"Coombs","British Columbia","BC","Canada","CA"
"Coquitlam","British Columbia","BC","Canada","CA"
"Courtenay","British Columbia","BC","Canada","CA"
"Cowichan Bay","British Columbia","BC","Canada","CA"
"Cranbrook","British Columbia","BC","Canada","CA"
"Crawford Bay","British Columbia","BC","Canada","CA"
"Crescent Spur","British Columbia","BC","Canada","CA"
"Crescent Valley","British Columbia","BC","Canada","CA"
"Creston","British Columbia","BC","Canada","CA"
"Crofton","British Columbia","BC","Canada","CA"
"Cumberland","British Columbia","BC","Canada","CA"
"Darcy","British Columbia","BC","Canada","CA"
"Darfield","British Columbia","BC","Canada","CA"
"Dawson Creek","British Columbia","BC","Canada","CA"
"Dease Lake","British Columbia","BC","Canada","CA"
"Delta","British Columbia","BC","Canada","CA"
"Denman Island","British Columbia","BC","Canada","CA"
"Denny Island","British Columbia","BC","Canada","CA"
"Dog Creek","British Columbia","BC","Canada","CA"
"Douglas Lake","British Columbia","BC","Canada","CA"
"Duncan","British Columbia","BC","Canada","CA"
"Dunster","British Columbia","BC","Canada","CA"
"Eagle Bay","British Columbia","BC","Canada","CA"
"Eagle Creek","British Columbia","BC","Canada","CA"
"Edgewater","British Columbia","BC","Canada","CA"
"Edgewood","British Columbia","BC","Canada","CA"
"Egmont","British Columbia","BC","Canada","CA"
"Elkford","British Columbia","BC","Canada","CA"
"Elko","British Columbia","BC","Canada","CA"
"Endako","British Columbia","BC","Canada","CA"
"Enderby","British Columbia","BC","Canada","CA"
"Erickson","British Columbia","BC","Canada","CA"
"Errington","British Columbia","BC","Canada","CA"
"Fairmont Hot Springs","British Columbia","BC","Canada","CA"
"Falkland","British Columbia","BC","Canada","CA"
"Fanny Bay","British Columbia","BC","Canada","CA"
"Farmington","British Columbia","BC","Canada","CA"
"Fauquier","British Columbia","BC","Canada","CA"
"Fernie","British Columbia","BC","Canada","CA"
"Field","British Columbia","BC","Canada","CA"
"Forest Grove","British Columbia","BC","Canada","CA"
"Fort Fraser","British Columbia","BC","Canada","CA"
"Fort Nelson","British Columbia","BC","Canada","CA"
"Fort St. James","British Columbia","BC","Canada","CA"
"Fort St. John","British Columbia","BC","Canada","CA"
"Fort Steele","British Columbia","BC","Canada","CA"
"Francois Lake","British Columbia","BC","Canada","CA"
"Fraser Lake","British Columbia","BC","Canada","CA"
"Fruitvale","British Columbia","BC","Canada","CA"
"Gabriola","British Columbia","BC","Canada","CA"
"Galiano","British Columbia","BC","Canada","CA"
"Galloway","British Columbia","BC","Canada","CA"
"Gang Ranch","British Columbia","BC","Canada","CA"
"Ganges","British Columbia","BC","Canada","CA"
"Garden Bay","British Columbia","BC","Canada","CA"
"Garibaldi Highlands","British Columbia","BC","Canada","CA"
"Genelle","British Columbia","BC","Canada","CA"
"Gibsons","British Columbia","BC","Canada","CA"
"Gillies Bay","British Columbia","BC","Canada","CA"
"Gitwinksihlkw","British Columbia","BC","Canada","CA"
"Gold Bridge","British Columbia","BC","Canada","CA"
"Gold River","British Columbia","BC","Canada","CA"
"Golden","British Columbia","BC","Canada","CA"
"Good Hope Lake","British Columbia","BC","Canada","CA"
"Goodlow","British Columbia","BC","Canada","CA"
"Grand Forks","British Columbia","BC","Canada","CA"
"Granisle","British Columbia","BC","Canada","CA"
"Grasmere","British Columbia","BC","Canada","CA"
"Grassy Plains","British Columbia","BC","Canada","CA"
"Gray Creek","British Columbia","BC","Canada","CA"
"Greenville","British Columbia","BC","Canada","CA"
"Greenwood","British Columbia","BC","Canada","CA"
"Grindrod","British Columbia","BC","Canada","CA"
"Groundbirch","British Columbia","BC","Canada","CA"
"Gulf Islands","British Columbia","BC","Canada","CA"
"Hagensborg","British Columbia","BC","Canada","CA"
"Haisla","British Columbia","BC","Canada","CA"
"Halfmoon Bay","British Columbia","BC","Canada","CA"
"Hanceville","British Columbia","BC","Canada","CA"
"Haney","British Columbia","BC","Canada","CA"
"Harrison Hot Springs","British Columbia","BC","Canada","CA"
"Harrison Mills","British Columbia","BC","Canada","CA"
"Harrogate","British Columbia","BC","Canada","CA"
"Hartley Bay","British Columbia","BC","Canada","CA"
"Hazelton","British Columbia","BC","Canada","CA"
"Hedley","British Columbia","BC","Canada","CA"
"Heffley Creek","British Columbia","BC","Canada","CA"
"Heriot Bay","British Columbia","BC","Canada","CA"
"Hixon","British Columbia","BC","Canada","CA"
"Holberg","British Columbia","BC","Canada","CA"
"Honeymoon Bay","British Columbia","BC","Canada","CA"
"Hope","British Columbia","BC","Canada","CA"
"Hornby Island","British Columbia","BC","Canada","CA"
"Horsefly","British Columbia","BC","Canada","CA"
"Houston","British Columbia","BC","Canada","CA"
"Hudsons Hope","British Columbia","BC","Canada","CA"
"Invermere","British Columbia","BC","Canada","CA"
"Iskut","British Columbia","BC","Canada","CA"
"Jade City","British Columbia","BC","Canada","CA"
"Jaffray","British Columbia","BC","Canada","CA"
"Juskatla","British Columbia","BC","Canada","CA"
"Kaleden","British Columbia","BC","Canada","CA"
"Kamloops","British Columbia","BC","Canada","CA"
"Kaslo","British Columbia","BC","Canada","CA"
"Kelowna","British Columbia","BC","Canada","CA"
"Keremeos","British Columbia","BC","Canada","CA"
"Kimberley","British Columbia","BC","Canada","CA"
"Kincolith","British Columbia","BC","Canada","CA"
"Kingsgate","British Columbia","BC","Canada","CA"
"Kitchener","British Columbia","BC","Canada","CA"
"Kitimat","British Columbia","BC","Canada","CA"
"Kitkatla","British Columbia","BC","Canada","CA"
"Kitwanga","British Columbia","BC","Canada","CA"
"Kleena Kleene","British Columbia","BC","Canada","CA"
